sessionID,command_id,distance,direction,anomalyScore,isAnomaly
CLI-20260723-015635,2,9151.4,-0.87267,13397.7,1
CLI-20260723-015635,3,9155.2,-0.87241,13409.2,1
CLI-20260723-015635,4,2595.51,-2.55873,1069.38,1
CLI-20260723-015635,5,2673.83,1.83733,1129.01,1
CLI-20260723-015635,6,8654.44,1.04446,11962.7,1
CLI-20260723-015635,8,0.609453,1.89131,3.04633,1
CLI-20260723-015635,9,1.96668,-1.20378,0.0297883,1
CLI-20260723-015635,10,0.060434,2.12878,0.0104263,1
CLI-20260723-015635,11,1.86797,-0.371062,0.0175351,1
CLI-20260723-015653,2,3943.75,2.69137,2473.18,1
CLI-20260723-015653,3,8959.51,2.78331,12836,1
CLI-20260723-015653,4,1884.92,2.54096,558.706,1
CLI-20260723-015653,5,3935.42,-0.531812,2464.06,1
CLI-20260723-015653,6,2475.83,-3.11474,971.204,1
CLI-20260723-015653,7,1.61574,-2.61471,0.000118461,0
CLI-20260723-015653,8,0.87154,1.74291,5.06111e-06,0
CLI-20260723-015653,9,0.645873,2.34807,5.07719e-06,0
CLI-20260723-015653,11,0.568923,-2.80506,3.77056e-06,0
CLI-20260723-015710,2,6780.06,1.34657,7330.13,1
CLI-20260723-015710,3,8762.77,-1.18497,12355.5,1
CLI-20260723-015710,4,5519.29,1.01669,4895.16,1
CLI-20260723-015710,5,9931.35,1.04039,15805,1
CLI-20260723-015710,6,3150.33,2.38901,1555.74,1
CLI-20260723-015710,8,0.137685,-2.72902,1.04637,1
CLI-20260723-015710,9,1.94422,-2.07248,0.0370626,1
CLI-20260723-015710,11,1.66711,-0.320595,0.0208841,1
CLI-20260723-015724,2,9654.4,-0.623803,14910.5,1
CLI-20260723-015724,3,7211.57,2.27309,8302.48,1
CLI-20260723-015724,4,7140.3,2.75784,8144.01,1
CLI-20260723-015724,5,838.598,2.07932,107.235,1
CLI-20260723-015724,6,2240.25,-0.381274,792.511,1
CLI-20260723-015724,7,1.85534,1.26485,6.44767e-06,0
CLI-20260723-015724,8,0.11949,2.23249,5.31702e-06,0
CLI-20260723-015724,9,1.95746,-2.82265,6.30003e-05,0
CLI-20260723-015724,10,1.47592,-0.1728,8.02387e-06,0
CLI-20260723-015724,11,1.34072,0.898005,5.00965e-06,0
CLI-20260723-015741,2,4106.57,-0.4484,2683.03,1
CLI-20260723-015741,3,6835.12,-2.593,7468.68,1
CLI-20260723-015741,4,2238.33,0.983407,787.809,1
CLI-20260723-015741,5,6475.26,1.77222,6804.25,1
CLI-20260723-015741,6,6647.12,-1.24431,7062.97,1
CLI-20260723-015741,7,1.42629,-1.35923,1.062,1
CLI-20260723-015741,8,1.09035,2.16875,4.65996e-06,0
CLI-20260723-015741,9,0.228667,2.2297,4.42153e-06,0
CLI-20260723-015741,11,1.43303,0.124058,6.54282e-06,0
CLI-20260723-015756,2,6008.48,1.02956,5751.44,1
CLI-20260723-015756,3,1101.2,2.57833,206.593,1
CLI-20260723-015756,4,2538.28,1.87582,1016.82,1
CLI-20260723-015756,5,5557.15,-2.95655,4930.67,1
CLI-20260723-015756,6,3032.96,1.5891,1407.98,1
CLI-20260723-015756,7,1.49327,2.09543,4.44723e-06,0
CLI-20260723-015756,8,1.99552,0.95665,3.50887e-05,0
CLI-20260723-015756,9,0.43743,-2.89229,3.32175e-06,0
CLI-20260723-015810,2,8042.04,1.59819,10325.1,1
CLI-20260723-015810,3,6666.65,2.54015,7094.31,1
CLI-20260723-015810,4,9771.31,0.741709,15259.1,1
CLI-20260723-015810,5,2392.14,-0.730769,965.54,1
CLI-20260723-015810,6,1444.38,1.12865,322.675,1
CLI-20260723-015810,8,1.86962,1.6082,7.6257e-06,0
CLI-20260723-015810,9,1.60163,-0.015517,7.30362e-06,0
CLI-20260723-015810,10,1.22921,2.16251,6.16996e-06,0
CLI-20260723-015810,11,1.80123,0.933635,4.69773e-06,0
CLI-20260723-015827,2,2747.44,1.10643,1191.29,1
CLI-20260723-015827,3,1846.91,-2.49999,567.462,1
CLI-20260723-015827,4,7156.33,-2.81023,8059.99,1
CLI-20260723-015827,5,5206.15,1.72034,4287.4,1
CLI-20260723-015827,6,3753.25,-2.887,2223.87,1
CLI-20260723-015827,8,1.38665,-0.632017,0.0248732,1
CLI-20260723-015827,9,1.55421,2.39244,0.0745517,1
CLI-20260723-015827,10,1.32535,1.70878,0.0483052,1
CLI-20260723-015827,11,1.35378,-0.184743,0.0218445,1
