timestamp,source,sessionID,current_function,current_command,filename,parent_id,current_id,x,y,distance,direction,distance_moved,instruction_pointer,stack_pointer,frame_pointer,rax,rbx,rcx,rdx,rsi,obstructed?,call_depth,response_time(ns)
20260723-001054,client,CLI-20260723-001054,move_robot()AFTER_SERVICE_CALL,move, ,1,11,0.0170398,2.39572,0.751652,2.43882,0.45,99345448404755,140725360716712,140725360716720,140725360716864,140725360716864,126711902101632,3,140725360717896,obstructed,33,4177603ns
20260723-001109,client,CLI-20260723-001109,move_robot()BEFORE_SERVICE_CALL,move, ,1,2,0,0,1.05552,-1.93569,0,99976524101395,140725596100040,140725596100048,140725596100192,140725596100192,138367768060032,3,140725596101224,n/a,5,50ns
20260723-001109,client,CLI-20260723-001109,move_robot()AFTER_SERVICE_CALL,move, ,1,2,0,0,1.05552,-1.93569,0,99976524101395,140725596100040,140725596100048,140725596100192,140725596100192,138367768060032,3,140725596101224,obstructed,6,87509326ns
20260723-001109,client,CLI-20260723-001109,move_robot()BEFORE_SERVICE_CALL,move, ,1,3,0,0,1.24794,2.1806,0,99976524101395,140725596100040,140725596100048,140725596100192,140725596100192,138367768060032,3,140725596101224,n/a,8,94ns
20260723-001109,client,CLI-20260723-001109,move_robot()AFTER_SERVICE_CALL,move, ,1,3,0,0,1.24794,2.1806,0,99976524101395,140725596100040,140725596100048,140725596100192,140725596100192,138367768060032,3,140725596101224,obstructed,9,7983071ns
20260723-001109,client,CLI-20260723-001109,move_robot()BEFORE_SERVICE_CALL,move, ,1,4,0,0,1.01188,2.5722,0,99976524101395,140725596100040,140725596100048,140725596100192,140725596100192,138367768060032,3,140725596101224,n/a,11,87ns
20260723-001109,client,CLI-20260723-001109,move_robot()AFTER_SERVICE_CALL,move, ,1,4,0,0,1.01188,2.5722,0,99976524101395,140725596100040,140725596100048,140725596100192,140725596100192,138367768060032,3,140725596101224,obstructed,12,4847752ns
20260723-001109,client,CLI-20260723-001109,move_robot()BEFORE_SERVICE_CALL,move, ,1,5,0,0,1.09661,-1.30592,0,99976524101395,140725596100040,140725596100048,140725596100192,140725596100192,138367768060032,3,140725596101224,n/a,14,81ns
20260723-001109,client,CLI-20260723-001109,move_robot()AFTER_SERVICE_CALL,move, ,1,5,0,0,1.09661,-1.30592,0,99976524101395,140725596100040,140725596100048,140725596100192,140725596100192,138367768060032,3,140725596101224,obstructed,15,24698008ns
20260723-001109,client,CLI-20260723-001109,move_robot()BEFORE_SERVICE_CALL,move, ,1,6,0,0,0.556381,1.64143,0,99976524101395,140725596100040,140725596100048,140725596100192,140725596100192,138367768060032,3,140725596101224,n/a,17,49ns
20260723-001109,client,CLI-20260723-001109,move_robot()AFTER_SERVICE_CALL,move, ,1,6,0,0,0.556381,1.64143,0,99976524101395,140725596100040,140725596100048,140725596100192,140725596100192,138367768060032,3,140725596101224,obstructed,18,6017684ns
20260723-001109,client,CLI-20260723-001109,move_robot()BEFORE_SERVICE_CALL,move, ,1,7,0,0,0.781975,0.491263,0,99976524101395,140725596100040,140725596100048,140725596100192,140725596100192,138367768060032,3,140725596101224,n/a,20,53ns
20260723-001109,client,CLI-20260723-001109,move_robot()AFTER_SERVICE_CALL,move, ,1,7,0.70539,0.377392,0.781975,0.491263,0.8,99976524101395,140725596100040,140725596100048,140725596100192,140725596100192,138367768060032,3,140725596101224,success,21,10367020ns
20260723-001109,client,CLI-20260723-001109,move_robot()BEFORE_SERVICE_CALL,move, ,1,8,0.70539,0.377392,1.80748,1.0847,0,99976524101395,140725596100040,140725596100048,140725596100192,140725596100192,138367768060032,3,140725596101224,n/a,23,55ns
20260723-001109,client,CLI-20260723-001109,move_robot()AFTER_SERVICE_CALL,move, ,1,8,1.56967,2.01309,1.80748,1.0847,1.85,99976524101395,140725596100040,140725596100048,140725596100192,140725596100192,138367768060032,3,140725596101224,success,24,9122035ns
